,Nonlethal:Lethal Event Ratio,Precision,Recall,F1 Score
0,1,0.039639639639639600,0.9463963963963970,0.0760921725745846
1,2.36986301369863,0.08010510510510510,0.9331831831831830,0.147544855368816
2,3.73972602739726,0.09827327327327330,0.810960960960961,0.175303096011543
3,5.10958904109589,0.1626876876876880,0.7927927927927930,0.2699743823339330
4,6.47945205479452,0.20067567567567600,0.7927927927927930,0.320280380130755
5,7.84931506849315,0.232684798237438,0.7448948948948950,0.354601715940622
6,9.21917808219178,0.2510510510510510,0.7754504504504510,0.3793031970023120
7,10.5890410958904,0.2774774774774780,0.7762762762762760,0.4088226157191680
8,11.958904109589,0.28573573573573600,0.73993993993994,0.412269274105023
9,13.3287671232877,0.3162912912912910,0.696996996996997,0.435126079624857
10,14.6986301369863,0.36171171171171200,0.7308558558558560,0.483922698208413
11,16.0684931506849,0.388963963963964,0.7523273273273270,0.512801984328757
12,17.4383561643836,0.4096096096096100,0.6994744744744750,0.5166632008031860
13,18.8082191780822,0.4071321321321320,0.7151651651651650,0.5188762714149030
14,20.1780821917808,0.4286036036036040,0.6524024024024020,0.5173366643954880
15,21.5479452054795,0.44512012012012000,0.6680930930930930,0.534276227265841
16,22.9178082191781,0.46328828828828800,0.6631381381381380,0.545484597500726
17,24.2876712328767,0.5070570570570570,0.6837837837837840,0.5823068560932640
18,25.6575342465753,0.5483483483483480,0.6755255255255260,0.6053292158555320
19,27.027397260274,0.5111861861861860,0.5978978978978980,0.5511523437063270
20,28.3972602739726,0.5830330330330330,0.6780030030030030,0.6269418731108320
21,29.7671232876712,0.5483483483483480,0.6234984984984990,0.5835137463044440
22,31.1369863013699,0.6045045045045050,0.6573573573573580,0.6298240649025990
23,32.5068493150685,0.6606606606606610,0.6350600600600600,0.6476074544908200
24,33.8767123287671,0.6144144144144150,0.6185435435435440,0.6164720648310740
25,35.2465753424658,0.6334084084084090,0.5945945945945950,0.6133881022919360
26,36.6164383561644,0.6135885885885890,0.6127627627627630,0.6131753976198420
27,37.986301369863,0.592942942942943,0.6524024024024020,0.621253216080802
28,39.3561643835616,0.6243243243243240,0.6276276276276280,0.6259716180560510
29,40.7260273972603,0.65487987987988,0.6276276276276280,0.640964209541158
30,42.0958904109589,0.659009009009009,0.5838588588588590,0.619161952650325
31,43.4657534246575,0.6367117117117120,0.6078078078078080,0.6219241138949170
32,44.8356164383562,0.6416666666666670,0.5656906906906910,0.6012881896944830
33,46.2054794520548,0.6598348348348350,0.5656906906906910,0.6091467140995450
34,47.5753424657534,0.6788288288288290,0.6408408408408410,0.6592880740565350
35,48.9452054794521,0.696996996996997,0.6292792792792790,0.661409354560039
36,50.3150684931507,0.696996996996997,0.587987987987988,0.637868717046095
37,51.6849315068493,0.6854354354354360,0.5797297297297300,0.6281666784277750
38,53.0547945205479,0.6936936936936940,0.5524774774774780,0.6150842691598160
39,54.4246575342466,0.6870870870870870,0.5978978978978980,0.6393972378548210
40,55.7945205479452,0.7192942942942940,0.5756006006006010,0.6394746468407180
41,57.1643835616438,0.711036036036036,0.5780780780780780,0.637700480749808
42,58.5342465753425,0.7341591591591590,0.5756006006006010,0.6452823883151750
43,59.9041095890411,0.7093843843843840,0.5623873873873880,0.6273906048906050
44,61.2739726027397,0.7077327327327330,0.6102852852852850,0.6554066284329440
45,62.6438356164384,0.720945945945946,0.5632132132132130,0.632392456765447
46,64.013698630137,0.7531531531531530,0.5846846846846850,0.6583116449783120
47,65.3835616438356,0.7605855855855860,0.5177927927927930,0.6161332844472380
48,66.7534246575342,0.7424174174174180,0.5590840840840840,0.6378383142025280
49,68.1232876712329,0.6961711711711710,0.5202702702702700,0.5955028348103700
50,69.4931506849315,0.725900900900901,0.5516516516516520,0.626893085716615
51,70.8630136986301,0.753978978978979,0.5343093093093090,0.625415896665896
52,72.2328767123288,0.7267267267267270,0.5466966966966970,0.6239858535578380
53,73.6027397260274,0.7407657657657660,0.5318318318318320,0.6191475057146700
54,74.972602739726,0.7671921921921920,0.5409159159159160,0.6344834417751080
55,76.3424657534247,0.7556306306306310,0.5202702702702700,0.6162424560482810
56,77.7123287671233,0.7861861861861860,0.5392642642642640,0.6397253328094450
57,79.0821917808219,0.8225225225225230,0.55990990990991,0.666272724337241
58,80.4520547945205,0.796921921921922,0.5516516516516520,0.65198266239295
59,81.8219178082192,0.7696696696696700,0.5301801801801800,0.6278626784344700
60,83.1917808219178,0.7861861861861860,0.5392642642642640,0.6397253328094450
61,84.5616438356164,0.796921921921922,0.5574324324324330,0.65600280158207
62,85.9315068493151,0.8316066066066070,0.5508258258258260,0.6627020389565190
63,87.3013698630137,0.8076576576576580,0.5235735735735740,0.6353039143361730
64,88.6712328767123,0.7944444444444450,0.554954954954955,0.653447572419421
65,90.041095890411,0.8233483483483480,0.5458708708708710,0.6564936770304680
66,91.4109589041096,0.83490990990991,0.5351351351351350,0.652226186403402
67,92.7808219178082,0.8117867867867870,0.5177927927927930,0.6322861059817580
68,94.1506849315068,0.7977477477477480,0.5326576576576580,0.6387924237086250
69,95.5205479452055,0.7878378378378380,0.502927927927928,0.613938890906261
70,96.8904109589041,0.8010510510510510,0.5268768768768770,0.6356599136449880
71,98.2602739726027,0.8340840840840840,0.532213984761341,0.649801422015514
72,100,0.8481231231231230,0.5524774774774780,0.6690971336902940
